Department,Job,Q1,Q2,Q3,Q4
Accounting,Account Representative IV,512,0,0,0
Accounting,Actuary,0,512,0,0
Accounting,Analyst Programmer,0,0,512,0
Accounting,Budget/Accounting Analyst III,0,512,0,0
Accounting,Cost Accountant,0,512,0,0
Accounting,Database Administrator III,0,0,0,512
Accounting,Desktop Support Technician,0,0,512,0
Accounting,Food Chemist,512,0,0,0
Accounting,Graphic Designer,0,512,0,0
Accounting,Health Coach III,0,0,0,512
Accounting,Health Coach IV,0,0,512,0
Accounting,Help Desk Technician,0,0,512,0
Accounting,Junior Executive,0,0,512,0
Accounting,Legal Assistant,0,0,512,512
Accounting,Media Manager III,0,512,0,0
Accounting,Programmer Analyst IV,0,512,512,512
Accounting,Programmer III,0,0,512,0
Accounting,Research Assistant IV,0,0,512,0
Accounting,Sales Representative,512,0,512,0
Accounting,Senior Cost Accountant,0,0,0,512
Accounting,Senior Developer,0,0,0,512
Accounting,Software Test Engineer IV,0,0,512,0
Accounting,Statistician I,0,0,0,512
Accounting,Statistician II,0,0,0,1024
Accounting,Structural Analysis Engineer,0,512,1024,0
Accounting,VP Accounting,0,0,512,0
Accounting,Web Designer I,0,0,0,512
Accounting,Web Designer III,0,0,0,512
Accounting,Web Developer I,0,512,0,0
Accounting,Web Developer III,0,0,0,1024
Business Development,Account Executive,0,1024,0,512
Business Development,Account Representative III,0,512,0,0
Business Development,Account Representative IV,0,512,0,512
Business Development,Accountant I,0,0,512,0
Business Development,Accountant IV,0,1024,512,0
Business Development,Accounting Assistant I,0,0,512,0
Business Development,Actuary,512,0,512,512
Business Development,Administrative Assistant I,512,0,0,0
Business Development,Administrative Assistant III,512,0,0,0
Business Development,Administrative Officer,0,512,0,0
Business Development,Analog Circuit Design manager,512,1024,512,0
Business Development,Analyst Programmer,0,512,0,0
Business Development,Assistant Manager,0,0,0,512
Business Development,Associate Professor,0,0,512,0
Business Development,Automation Specialist I,0,0,0,1024
Business Development,Automation Specialist IV,0,512,0,0
Business Development,Biostatistician II,0,0,0,512
Business Development,Biostatistician III,0,0,0,1024
Business Development,Budget/Accounting Analyst I,512,0,0,0
Business Development,Budget/Accounting Analyst III,0,512,0,0
Business Development,Budget/Accounting Analyst IV,0,512,512,1024
Business Development,Civil Engineer,0,1024,0,512
Business Development,Clinical Specialist,512,512,0,1024
Business Development,Community Outreach Specialist,0,0,0,512
Business Development,Computer Systems Analyst III,0,0,0,512
Business Development,Computer Systems Analyst IV,0,512,0,0
Business Development,Database Administrator II,0,512,0,0
Business Development,Database Administrator III,512,0,0,512
Business Development,Database Administrator IV,0,0,0,512
Business Development,Dental Hygienist,0,0,1536,0
Business Development,Developer II,0,512,512,0
Business Development,Director of Sales,0,0,512,0
Business Development,Environmental Tech,0,512,0,0
Business Development,Executive Secretary,0,1024,512,0
Business Development,Food Chemist,0,0,0,1024
Business Development,GIS Technical Architect,0,512,0,0
Business Development,General Manager,512,512,1024,0
Business Development,Geological Engineer,0,0,512,512
Business Development,Geologist II,0,512,512,512
Business Development,Geologist IV,512,0,0,512
Business Development,Graphic Designer,0,0,512,512
Business Development,Health Coach IV,512,512,0,1024
Business Development,Human Resources Assistant III,0,512,0,0
Business Development,Human Resources Assistant IV,512,0,512,512
Business Development,Information Systems Manager,0,512,0,0
Business Development,Internal Auditor,0,1024,0,0
Business Development,Junior Executive,512,0,1024,1024
Business Development,Legal Assistant,0,0,512,512
Business Development,Marketing Manager,0,512,0,0
Business Development,Mechanical Systems Engineer,0,0,512,512
Business Development,Media Manager III,0,0,0,512
Business Development,Occupational Therapist,0,1536,0,0
Business Development,Office Assistant IV,0,0,512,0
Business Development,Pharmacist,512,0,512,0
Business Development,Product Engineer,0,512,512,512
Business Development,Programmer Analyst II,0,0,512,0
Business Development,Programmer I,0,0,512,0
Business Development,Programmer III,512,512,512,512
Business Development,Programmer IV,0,512,512,512
Business Development,Quality Control Specialist,512,0,512,1024
Business Development,Quality Engineer,0,512,0,512
Business Development,Recruiter,0,1024,0,0
Business Development,Recruiting Manager,0,0,512,0
Business Development,Registered Nurse,512,0,0,0
Business Development,Research Assistant II,0,0,0,512
Business Development,Research Assistant III,0,512,0,0
Business Development,Research Assistant IV,0,512,0,0
Business Development,Research Nurse,0,0,0,1024
Business Development,Safety Technician IV,0,0,512,0
Business Development,Sales Representative,0,512,0,512
Business Development,Senior Cost Accountant,512,0,1024,512
Business Development,Senior Developer,0,0,512,0
Business Development,Senior Editor,512,512,512,0
Business Development,Senior Financial Analyst,0,0,0,512
Business Development,Senior Quality Engineer,0,0,0,512
Business Development,Senior Sales Associate,512,0,0,0
Business Development,Software Test Engineer IV,1024,0,1024,0
Business Development,Staff Accountant I,0,512,0,0
Business Development,Staff Accountant III,0,512,0,0
Business Development,Staff Accountant IV,0,0,0,512
Business Development,Staff Scientist,512,512,0,0
Business Development,Statistician II,0,512,0,0
Business Development,Statistician III,0,512,512,0
Business Development,Structural Analysis Engineer,0,1024,1024,512
Business Development,Structural Engineer,0,512,0,0
Business Development,Systems Administrator IV,512,512,512,512
Business Development,Teacher,512,512,512,0
Business Development,Technical Writer,512,512,0,0
Business Development,VP Accounting,0,0,0,512
Business Development,VP Marketing,0,0,512,0
Business Development,VP Product Management,512,0,0,0
Business Development,Web Designer I,0,1024,0,512
Business Development,Web Designer II,0,0,512,0
Business Development,Web Designer III,0,0,512,0
Business Development,Web Designer IV,0,0,512,512
Business Development,Web Developer I,512,512,512,512
Business Development,Web Developer II,0,0,0,512
Engineering,Account Coordinator,0,512,512,0
Engineering,Account Executive,0,0,0,512
Engineering,Account Representative IV,0,0,0,512
Engineering,Accountant I,512,0,512,0
Engineering,Accounting Assistant IV,0,0,512,512
Engineering,Actuary,512,0,0,512
Engineering,Administrative Assistant I,0,0,0,512
Engineering,Analog Circuit Design manager,0,0,0,512
Engineering,Analyst Programmer,0,0,0,512
Engineering,Assistant Manager,512,512,512,0
Engineering,Assistant Media Planner,0,512,0,0
Engineering,Assistant Professor,0,0,0,512
Engineering,Associate Professor,0,512,1024,0
Engineering,Automation Specialist I,0,0,512,0
Engineering,Biostatistician III,0,512,512,0
Engineering,Budget/Accounting Analyst I,0,512,0,1024
Engineering,Budget/Accounting Analyst II,0,512,512,0
Engineering,Budget/Accounting Analyst III,0,512,0,0
Engineering,Budget/Accounting Analyst IV,0,0,0,512
Engineering,Chemical Engineer,0,0,0,512
Engineering,Civil Engineer,512,0,512,1024
Engineering,Clinical Specialist,0,512,512,1024
Engineering,Community Outreach Specialist,0,512,0,0
Engineering,Computer Systems Analyst III,0,0,512,512
Engineering,Computer Systems Analyst IV,0,512,0,0
Engineering,Cost Accountant,0,0,512,0
Engineering,Database Administrator I,0,0,512,0
Engineering,Database Administrator II,0,0,512,512
Engineering,Database Administrator III,0,0,0,512
Engineering,Dental Hygienist,0,0,1024,512
Engineering,Engineer III,512,0,0,512
Engineering,Engineer IV,0,512,512,0
Engineering,Environmental Tech,0,0,512,0
Engineering,Executive Secretary,512,0,0,0
Engineering,Financial Analyst,0,512,512,0
Engineering,Food Chemist,0,1024,1024,512
Engineering,GIS Technical Architect,0,512,0,512
Engineering,General Manager,0,0,0,1024
Engineering,Geological Engineer,512,512,512,0
Engineering,Geologist I,0,0,512,0
Engineering,Geologist II,0,1536,512,0
Engineering,Graphic Designer,1024,0,0,0
